latitude,longitude,elevation,time
45.648845,13.807373,135.2,2025-04-11 13:11:02+00:00
45.648846,13.807317,135.4,2025-04-11 13:11:03+00:00
45.648844,13.807297,135.5,2025-04-11 13:11:04+00:00
45.648852,13.807249,135.7,2025-04-11 13:11:05+00:00
45.648853,13.807228,135.8,2025-04-11 13:11:06+00:00
45.64886,13.807188,136.0,2025-04-11 13:11:07+00:00
45.648862,13.807168,136.0,2025-04-11 13:11:08+00:00
45.648867,13.807131,136.2,2025-04-11 13:11:09+00:00
45.648871,13.807114,136.2,2025-04-11 13:11:10+00:00
45.648886,13.80707,136.4,2025-04-11 13:11:11+00:00
45.648911,13.807046,136.6,2025-04-11 13:11:12+00:00
45.648944,13.806999,136.9,2025-04-11 13:11:13+00:00
45.648954,13.806964,137.0,2025-04-11 13:11:14+00:00
45.648959,13.806948,137.1,2025-04-11 13:11:15+00:00
45.648984,13.806916,137.3,2025-04-11 13:11:16+00:00
45.648996,13.806903,137.4,2025-04-11 13:11:17+00:00
45.649018,13.806869,137.6,2025-04-11 13:11:18+00:00
45.649026,13.806856,137.7,2025-04-11 13:11:19+00:00
45.649047,13.80682,137.9,2025-04-11 13:11:20+00:00
45.649054,13.806803,137.9,2025-04-11 13:11:21+00:00
45.649067,13.806753,138.2,2025-04-11 13:11:22+00:00
45.649072,13.806733,138.3,2025-04-11 13:11:23+00:00
45.649089,13.806686,138.5,2025-04-11 13:11:24+00:00
45.649119,13.806631,138.8,2025-04-11 13:11:25+00:00
45.649158,13.806576,139.2,2025-04-11 13:11:26+00:00
45.649166,13.806516,139.5,2025-04-11 13:11:27+00:00
45.649167,13.806468,139.7,2025-04-11 13:11:28+00:00
45.649183,13.806414,139.9,2025-04-11 13:11:29+00:00
45.649189,13.806393,140.0,2025-04-11 13:11:30+00:00
45.649209,13.806358,140.2,2025-04-11 13:11:31+00:00
45.649209,13.806316,140.4,2025-04-11 13:11:32+00:00
45.649216,13.806266,140.6,2025-04-11 13:11:33+00:00
45.649233,13.80622,140.8,2025-04-11 13:11:34+00:00
45.649246,13.806164,141.0,2025-04-11 13:11:35+00:00
45.649264,13.806115,141.2,2025-04-11 13:11:36+00:00
45.649277,13.806061,141.4,2025-04-11 13:11:37+00:00
45.649285,13.806019,141.6,2025-04-11 13:11:38+00:00
45.649295,13.80598,141.7,2025-04-11 13:11:39+00:00
