latitude,longitude,elevation,distance_m,gradient_percent
45.648623,13.809878,124.2,520.2928540997947,8103.755606302002
45.648622,13.809886,124.2,520.9245699235091,0.0
45.648622,13.809894,124.2,521.5464224598988,8040.491446777014
45.648622,13.809902,124.3,522.1682749962886,8103.755460280809
45.648621,13.80991,124.3,522.7999908310708,0.0
45.648621,13.809918,124.3,523.4218433785624,8040.491300553549
45.648621,13.809926,124.4,524.0436959261921,7586.386831788695
45.64862,13.809933,124.4,524.5990624328242,1.4551915228366852e-09
45.64862,13.809941,124.4,525.2209149915558,7852.674688358093
45.648619,13.809949,124.5,525.8526308480592,7852.674759006186
45.648619,13.809957,124.5,526.4744834178928,1056.2883100300496
45.648605,13.809992,124.7,529.6089847288628,6427.8564480817295
45.648599,13.81001,124.8,531.1590777235436,6391.081560378552
45.648584,13.810045,125.0,534.350263855411,6029.75537884231
45.648579,13.810089,125.2,537.8153493038567,5661.9115569286805
45.64857,13.810108,125.3,539.5993744971604,6357.634547611724
45.64854,13.810152,125.7,544.3769890675903,5187.381728060063
45.648502,13.810145,125.8,548.6372865695353,2530.865422183251
45.64845,13.810093,126.0,555.692163140109,3586.5822666773965
45.648429,13.810038,126.2,560.5635515489442,3055.3157954096605
45.648429,13.809972,126.3,565.6938526516295,2145.5067435050296
45.648435,13.809917,126.4,570.0208474150663,961.6435175699735
45.648445,13.80988,126.4,573.1043927703068,1264.4375199539354
45.648464,13.809842,126.5,576.735990280677,704.2306121089496
45.648468,13.809827,126.5,577.9839208783243,1925.9193315363518
45.648476,13.809804,126.6,579.9808322500427,2426.9903883949155
45.648488,13.809787,126.6,581.8587737848497,923.9466408105727
45.648503,13.809745,126.7,585.524896114002,789.5710744822281
45.648505,13.809726,126.7,587.0184487176056,528.1966530533282
45.648519,13.80967,126.8,591.6414139775011,4194.941466287855
45.648529,13.809649,126.9,593.616521356834,4308.253111663726
45.64854,13.80961,127.0,596.8855107007408,2756.2192942235924
45.648555,13.80956,127.1,601.114872545151,568.8918043873855
45.648557,13.809543,127.1,602.4548934983378,804.8116987083631
45.648552,13.809499,127.2,605.9199805739323,2781.936805799887
45.648555,13.809451,127.3,609.6659829271537,3633.6712465845267
45.64856,13.809397,127.5,613.9001526701531,3495.751442798428
45.648581,13.809345,127.6,618.5682133904269,2736.0886594113254
45.6486,13.809276,127.8,624.3327989349829,3830.44613930997
45.648619,13.80922,128.0,629.1713786087874,4787.792077077029
45.64863,13.8092,128.1,631.1494989560055,4697.2864483646845
45.648632,13.809131,128.3,636.5175847991314,5280.810635048692
45.648645,13.809094,128.5,639.7364869161105,5218.70242980649
45.648665,13.809024,128.7,645.6146203554279,4451.081913686357
45.648658,13.808975,128.9,649.5021831717539,5625.872534033624
45.648688,13.808907,129.3,655.7525388703704,4193.752347834015
45.648698,13.808867,129.4,659.054647452874,4299.240093805929
45.64869,13.808823,129.6,662.5886223159788,5275.404482085833
45.64867,13.808778,129.8,666.7336370676886,6008.6248025269015
45.648664,13.80876,129.9,668.2837285967987,6166.538934721393
45.648658,13.808714,130.1,671.9210882500074,5735.330503226578
45.648661,13.808671,130.3,675.2801484170551,5869.452525947418
45.648669,13.808628,130.5,678.7389517008861,5164.1368658727515
45.648673,13.808569,130.7,683.3466277164163,5003.840075682092
45.648676,13.808545,130.8,685.2417734825659,5698.915041042528
45.648679,13.808505,131.0,688.3688766267709,4697.122255206887
45.648685,13.808457,131.1,692.159167667283,5210.303750658204
45.648688,13.808437,131.2,693.7491839710333,5954.297409244646
45.648706,13.808394,131.4,697.6450828961458,3927.565300868082
45.64871,13.808349,131.5,701.1711627822028,3535.413459986921
45.648708,13.808291,131.7,705.685068318221,5191.848694102373
45.648711,13.808268,131.8,707.5037466231292,5536.958864176631
45.648702,13.808224,132.0,711.0673356021771,4168.219981314178
45.648709,13.808176,132.1,714.8787697866287,5275.099166878499
45.648711,13.808156,132.2,716.449224580426,6200.33089798726
45.648713,13.808112,132.4,719.8766306131267,4354.084573126966
45.648708,13.808067,132.5,723.418454588969,4631.102823554102
45.64871,13.808044,132.6,725.2200564525596,5122.596457282452
45.648729,13.807984,132.8,730.3401490556843,4226.096348202736
45.648747,13.807933,133.0,734.7810639434117,4808.597885246127
45.648752,13.807908,133.1,736.8023168776754,4720.833103311452
45.648776,13.807857,133.3,741.5811783530218,4167.718631172647
45.648796,13.807802,133.5,746.4002303466764,4263.707638050255
45.648803,13.807744,133.7,750.975344720741,4724.085525340342
45.648806,13.807718,133.8,753.0237043167621,4669.24671654906
45.648816,13.807658,134.0,757.8183045961563,4541.587421006261
45.648819,13.807631,134.1,759.9433950222148,5507.524874153023
45.648827,13.807594,134.3,762.9538806333002,5756.729067825654
45.648835,13.807537,134.5,767.4729807577577,5065.901131805367
45.648845,13.807472,134.8,772.6464237839551,4459.22726523786
45.648851,13.807439,134.9,775.2968981058651,4412.142892974043
45.648843,13.807392,135.1,779.057007256699,6304.167185201368
45.648845,13.807373,135.2,780.5505509954226,6158.5374479866005
45.648846,13.807317,135.4,784.9049213719309,5897.240076005983
45.648844,13.807297,135.5,786.4753724565749,6032.542267411009
45.648852,13.807249,135.7,790.3110502827595,5843.512556103087
45.648853,13.807228,135.8,791.947189349427,6155.179736780883
45.64886,13.807188,136.0,795.1523858728413,2051.95291907512
45.648862,13.807168,136.0,796.7228365178814,2382.8779117624435
45.648867,13.807131,136.2,799.6521373221849,2201.7692980269203
45.648871,13.807114,136.2,801.046414331979,1409.4240992819323
45.648886,13.80707,136.4,804.8516154379556,5637.948034923102
45.648911,13.807046,136.6,808.1994454297271,5903.225183601353
45.648944,13.806999,136.9,813.3774568209378,4268.296296160042
45.648954,13.806964,137.0,816.3165103222215,6093.235801786068
45.648959,13.806948,137.1,817.6788214562999,6811.090192222036
45.648984,13.806916,137.3,821.409079737184,5784.62605609966
45.648996,13.806903,137.4,823.0828714445498,5840.926884037253
45.649018,13.806869,137.6,826.6841226193354,6917.929812776856
45.649026,13.806856,137.7,828.0303887806307,6904.536583209847
45.649047,13.80682,137.9,831.6750056682127,1625.2338132748264
45.649054,13.806803,137.9,833.2086351377271,1953.3139641198431
45.649067,13.806753,138.2,837.355299274635,6392.22579157431
45.649072,13.806733,138.3,839.0063437262359,5714.604823698937
45.649089,13.806686,138.5,843.1197704826737,5151.226873039923
