Power (W),SOH (%)
0.0,40587.492
0.0,40561.812
0.0,40536.12
0.0,40510.46
0.0,40484.812
0.0,40459.18
0.0,40433.555
0.0,40407.957
0.0,40382.37
0.0,40356.81
0.0,40331.25
0.0,40305.715
0.0,40280.188
0.0,40254.684
0.0,40229.188
0.0,40203.71
0.0,40178.246
0.0,40152.805
0.0,40127.37
0.0,40101.957
0.0,40076.555
0.0,40051.17
0.0,40025.797
0.0,40000.45
0.0,39975.1
0.0,39949.785
0.0,39924.473
0.0,39899.184
0.0,39873.953
0.0,39848.848
0.0,39823.785
0.0,39798.723
0.0,39773.668
0.0,39748.645
0.0,39723.63
0.0,39698.625
0.0,39673.637
0.0,39648.664
0.0,39623.71
0.0,39598.773
0.0,39573.844
0.0,39548.938
0.0,39524.04
0.0,39499.152
0.0,39474.293
0.0,39449.44
0.0,39424.6
0.0,39399.79
0.0,39374.977
0.0,39350.188
0.0,39325.41
0.0,39300.652
0.0,39275.902
0.0,39251.17
0.0,39226.46
0.0,39201.754
0.0,39177.066
0.0,39152.402
0.0,39127.74
0.0,39103.098
0.0,39078.473
0.0,39053.86
0.0,39029.258
0.0,39004.676
0.0,38980.113
0.0,38955.555
0.0,38931.02
0.0,38906.496
0.0,38881.99
0.0,38857.492
0.0,38833.02
0.0,38808.555
0.0,38784.094
0.0,38759.668
0.0,38735.242
0.0,38710.844
0.0,38686.453
0.0,38662.08
0.0,38637.72
0.0,38613.37
0.0,38589.04
0.0,38564.727
0.0,38540.418
0.0,38516.13
0.0,38491.86
0.0,38467.598
0.0,38443.363
0.0,38419.125
0.0,38394.914
0.0,38370.715
0.0,38346.527
0.0,38322.355
0.0,38298.203
0.0,38274.062
0.0,38249.934
0.0,38225.82
0.0,38201.727
0.0,38177.64
0.0,38153.58
0.0,38129.516
0.0,38105.477
0.0,38081.45
0.0,38057.438
0.0,38033.445
0.0,38009.47
0.0,37985.492
0.0,37961.535
0.0,37937.605
0.0,37913.68
0.0,37889.773
0.0,37865.88
0.0,37842.0
0.0,37818.125
0.0,37794.273
0.0,37770.44
0.0,37746.62
0.0,37722.812
0.0,37699.016
0.0,37675.234
0.0,37651.47
0.0,37627.727
0.0,37603.99
0.0,37580.26
0.0,37556.55
0.0,37532.863
0.0,37509.176
0.0,37485.516
0.0,37461.86
0.0,37438.23
0.0,37414.6
0.0,37391.0
0.0,37367.4
0.0,37343.82
0.0,37320.254
0.0,37296.703
0.0,37273.164
0.0,37249.65
0.0,37226.137
0.0,37202.645
0.0,37179.152
0.0,37155.69
0.0,37132.242
0.0,37108.81
0.0,37085.387
0.0,37061.98
0.0,37038.58
0.0,37015.2
0.0,36991.836
0.0,36968.484
0.0,36945.145
0.0,36921.816
0.0,36898.504
0.0,36875.207
0.0,36851.92
0.0,36828.66
0.0,36805.406
0.0,36782.156
0.0,36758.938
0.0,36735.723
0.0,36712.527
0.0,36689.344
0.0,36666.17
